source,target
98029,4997
98029,35763
98029,37755
98029,105895
98029,171737
98029,530292
98029,530295
98029,530308
128796,1248
128796,5051
128796,9095
128796,38600
128796,128794
128796,348840
138991,1248
138991,5051
138991,38600
138991,128794
138991,128796
249849,4153
249849,18440
249849,18441
249849,18442
249849,18443
249849,18444
249849,18445
249849,18448
249849,18450
249849,18451
249849,18454
249849,18455
249849,18457
249849,18458
249849,18462
249849,18464
249849,18468
249849,18469
249849,18470
249849,18471
249849,18472
249849,18474
249849,18475
249849,18476
249849,18477
249849,18478
249849,18480
249849,18481
249849,18482
249849,18483
249849,18484
249849,18485
249849,18486
249849,18487
249849,18488
249849,18489
249849,18490
249849,18491
249849,18492
249849,18494
249849,18495
249849,18496
249849,18498
249849,18499
249849,18500
249849,18501
249849,18503
249849,18504
249849,18507
249849,18508
249849,18509
249849,18510
249849,18512
249849,39450
249849,103993
249849,103994
249849,132724
249849,183442
249849,186007
249849,186010
249849,186012
249849,186013
249849,186019
249849,186020
249849,208325
249849,249847
249849,249848
249849,249851
249849,317703
249849,355330
249849,355331
249849,355339
249849,355340
249849,355341
249849,355343
249849,355344
249849,355346
249849,355347
249849,355348
249849,355352
249849,355353
249849,355355
249849,355357
249849,355364
249849,355365
249849,355370
249849,355371
249849,355374
249849,355376
249849,355382
249849,355385
249849,355392
249849,355393
249849,355394
249849,355397
249849,355404
249849,355408
249849,355410
249849,355415
249849,355416
249849,355417
249849,355419
5050,292
5050,5045
5050,5052
5050,9015
5050,11040
5050,18619
5050,19251
5050,54345
5050,247681
577487,15465
577487,15484
577487,20263
577487,68580
577487,82130
577487,214180
577487,215050
577487,442495
577487,577451
577487,577452
577487,577486
577487,577507
577487,577536
577487,577537
520640,290
520640,292
520640,4524
520640,4528
520640,5051
520640,13405
520640,13491
520640,139225
520640,245389
520640,245396
520640,497803
520640,511997
520640,520617
520640,520619
29459,743
29459,3172
29459,4183
29459,4515
29459,9544
29459,10407
29459,10656
29459,11055
29459,32704
29459,32707
29459,32708
29459,32709
29459,32711
29459,32712
29459,32714
29459,32715
29459,32718
29459,32720
29459,32721
29459,32723
29459,32726
1103471,1709
1103471,2962
1103471,6266
1103471,7198
1103471,14759
1103471,24023
1103471,24024
1103471,24027
1103471,24028
1103471,24031
1103471,24032
1103471,24033
1103471,24034
1103471,24035
1103471,24036
1103471,24037
1103471,24038
1103471,24039
1103471,24042
1103471,24043
1103471,24044
1103471,24046
1103471,24047
1103471,24048
1103471,24049
181487,1272
181487,87207
181487,87208
181487,87209
181487,87211
29460,4517
29460,4518
29460,4533
29460,6840
29460,29467
29460,29470
29460,32711
29460,32720
29460,32723
29460,104444
29460,104453
29460,104454
1108185,2962
1108185,4330
1108185,6614
1108185,10657
1108185,25714
1108185,76961
1108185,77209
1108185,125090
1108525,4183
1108525,18443
1108525,18474
1108525,33982
1108525,78416
1108525,132723
1108525,132724
1108525,132727
1108525,132728
1108525,132729
1152637,724
1152637,1248
1152637,1259
1152637,5129
1152637,23785
1152637,61357
1152637,124995
1152637,206430
1152637,209997
1152637,209999
1152637,210002
1152637,210003
1152637,210009
1152637,210011
521840,3240
521840,4533
521840,5045
521840,10373
521840,11040
521840,11054
521840,14762
521840,16830
521840,19251
521840,54348
521840,59494
521840,59497
521840,117394
521840,256286
186019,724
186019,14755
186019,16922
186019,18501
186019,33984
186019,102384
186019,102385
186019,107201
186019,262331
186019,298042
186019,298044
186019,298048
186019,298049
186019,298051
186019,298055
692699,23374
692699,50859
692699,81012
692699,90008
692699,125463
692699,205870
692699,691992
692699,691996
692699,691997
692699,691998
692699,691999
692699,692002
29470,4183
29470,8290
29470,12595
29470,12601
29470,12607
29470,20150
29470,25300
29470,29466
29470,29473
29470,32720
29470,50172
29470,63135
29470,63140
29470,63141
29470,120348
29470,167956
29470,254314
29470,387967
29470,387972
29470,387980
29470,387985
29470,387987
1134753,2941
1134753,5051
1134753,5917
1134753,14755
1134753,19518
1134753,24791
1134753,87095
1134753,134919
1134753,253241
1134753,724696
1134753,724699
1134753,724703
1134753,724706
1135102,734094
1135102,734101
1135102,734103
1135102,734104
1135102,734105
1135102,734106
18452,338
18452,1000
18452,4183
18452,4527
18452,11055
18452,14755
18452,16917
18452,18447
18452,18609
18452,33981
18452,33982
18452,33983
18452,33984
18452,33986
18452,33989
18452,33991
18452,33993
18452,33995
129558,926
129558,927
129558,936
129558,938
129558,939
129558,941
129558,942
129558,952
129558,53378
129558,53387
129558,53388
129558,53389
23449,19621
23449,23487
23449,23495
23449,23505
23449,23519
23449,23520
23449,23528
23449,360378
23449,360386
23449,360389
23449,360390
282,467
282,2668
282,2705
282,4183
282,10369
282,11047
282,77206
282,104432
282,104434
282,104436
282,104443
282,125499
282,188510
282,361738
3286,1263
3286,6458
3286,10290
3286,13182
3286,13564
3286,21513
3286,48842
3286,51991
3286,64952
3286,65243
3286,65245
3286,65251
3286,65253
3286,65255
3286,65257
3286,66671
3286,186603
3286,186606
3286,186608
3286,222141
3516,4156
3516,4528
3516,13405
3516,13410
3516,18816
3516,26616
3516,31702
3516,42986
3516,60523
3516,73300
3516,520617
3516,557254
3516,557256
19913,5051
19913,19896
19913,24033
19913,43436
19913,43437
19913,43442
19913,58561
19913,71787
19913,115411
19913,115412
19913,154767
19913,199984
19913,246535
19913,770080
19913,770081
4518,1000
4518,4515
4518,4527
4518,11036
4518,11055
4518,11057
4518,16912
4518,19896
4518,20373
4518,26679
4518,26688
6840,1000
6840,1384
6840,11055
6840,11057
6840,24189
6840,24191
6840,28871
6840,50358
6840,50359
9086,286
9086,292
9086,913
9086,5050
9086,12781
9086,14398
9086,18609
9086,19241
9086,262240
9086,601664
9086,601675
9086,601676
9086,601677
1109485,292
1109485,5045
1109485,5051
1109485,6840
1109485,15475
1109485,15585
1109485,15592
1109485,18816
1109485,19913
1109485,71787
1109485,115398
1109485,115412
1109485,154751
1109485,154754
1109485,154757
1109485,154761
1109485,154767
16217,229
16217,292
16217,469
16217,1490
16217,5045
16217,6846
16217,16219
16217,16224
16217,17086
16217,17094
16217,23747
16217,67411
16217,77784
16217,195047
16217,228493
16217,228500
11036,1000
11036,4531
11036,5052
11036,6840
11036,10658
11036,11033
11036,11045
11036,11055
11036,16912
11036,20373
11036,24182
11036,24185
11036,24186
11036,24189
11036,24190
11036,24191
16917,1000
16917,6599
16917,6604
16917,11633
16917,14755
16917,70030
16917,70031
16917,70032
16917,70034
16917,70035
16917,70038
16917,70040
16917,70041
16917,70042
16917,70044
12956,231
12956,251
12956,890
12956,1272
12956,5042
12956,10169
12956,16220
12956,16221
12956,19106
12956,19222
12956,19246
12956,22360
12956,23735
12956,23737
12956,23738
12956,23739
12956,23740
12956,23742
12956,23743
12956,23744
12956,23745
12956,23747
12956,23748
12956,23751
12956,23753
12956,23754
12956,23755
12956,23756
12956,23758
12956,23765
12956,23766
12956,195064
24023,3886
24023,11097
24023,15580
24023,15581
24023,15582
24023,15583
24023,15584
24023,15585
24023,15586
24023,15588
24023,15589
24023,15590
24023,15591
24023,15592
24023,15594
24023,159333
24023,159514
24046,334
24046,5933
24046,12827
24046,14759
24046,14762
24046,15583
24046,17664
24046,24024
24046,24028
24046,24031
24046,24034
24046,24037
24046,24038
24046,115574
24046,165281
24046,165282
24046,165285
24046,240940
24046,533945
24046,533955
20373,16912
20373,54345
20373,125485
20373,330609
34897,4183
34897,10656
34897,10657
34897,21976
34897,76961
34897,77209
34897,94732
34897,171601
34897,171605
34897,171608
34897,171609
34897,171610
34897,171611
39450,4515
39450,4527
39450,4531
39450,5052
39450,11057
39450,18454
39450,18455
39450,18474
39450,39454
39450,43426
40735,1468
40735,4159
40735,4183
40735,11040
40735,13106
40735,13235
40735,26688
40735,29940
40735,33982
40735,40721
40735,54857
40735,78416
40735,78417
40735,78418
40735,78421
40735,78422
40735,78424
40735,78426
40735,78430
19896,292
19896,4515
19896,6840
19896,11033
19896,11036
19896,11055
19896,20373
19896,24033
19896,24190
19896,43437
19896,43442
19896,64388
19896,114107
19896,225831
19896,225833
47400,338
47400,724
47400,4320
47400,4526
47400,4527
47400,6632
47400,14755
47400,16917
47400,33993
47400,70035
47400,70042
47400,102384
47400,102385
47400,102386
47400,102391
47400,109492
88348,251
88348,286
88348,3235
88348,4183
88348,4626
88348,4660
88348,5043
88348,5045
88348,5050
88348,5052
88348,5917
88348,10373
88348,10374
88348,10375
88348,10378
88348,10658
88348,11055
88348,12949
88348,12959
88348,15713
88348,16221
88348,18617
88348,19225
88348,19241
88348,30933
88348,31565
88348,41771
88348,54345
88348,59464
88348,59465
88348,59467
88348,59474
88348,59478
88348,59480
88348,59481
88348,59482
88348,59485
88348,59487
88348,59488
88348,59489
88348,59492
88348,59494
88348,59495
88348,59497
88348,59499
88348,59507
88348,59509
100336,6612
100336,12835
100336,15491
100336,15866
100336,16915
100336,21728
100336,22019
100336,24033
100336,42631
100336,154239
100336,263795
100336,431935
100336,518407
100336,518408
100336,518411
100336,518417
100336,518418
100336,518421
100336,518425
100336,518429
100336,518430
100336,518431
100336,518433
1106310,1254
1106310,4153
1106310,4517
1106310,4518
1106310,4519
1106310,4521
1106310,4523
1106310,4524
1106310,4529
1106310,4533
1106310,6840
1106310,11055
1106310,11057
1106310,15696
1106310,43435
1106310,84327
1106310,84328
1106310,163738
1106310,223076
101929,6595
101929,6612
101929,8366
101929,21898
101929,21970
101929,21977
101929,22019
101929,29752
101929,34930
101929,37930
101929,369677
101929,518130
101929,518139
101929,518314
101929,518316
101929,518319
101929,518328
844031,292
844031,438
844031,4183
844031,4517
844031,4529
844031,4533
844031,5054
844031,6788
844031,22563
844031,54736
844031,100330
844031,199765
103548,930
103548,4346
103548,4517
103548,4527
103548,6840
103548,11033
103548,19896
103548,22564
103548,24033
103548,26596
103548,34897
103548,37586
103548,41806
103548,42772
103548,58683
103548,61997
103548,71785
103548,85557
103548,98442
103548,100330
103548,103547
103548,103549
103548,107171
103548,127007
103548,181485
103548,181487
103548,181492
103548,181495
103548,181501
103548,181503
103548,181505
103548,181511
103551,724
103551,1963
103551,4838
103551,5051
103551,5611
103551,6337
103551,10435
103551,10658
103551,11055
103551,20373
103551,23744
103551,33993
103551,35775
103551,55731
103551,105673
103551,244178
103551,244180
103551,244183
103551,244185
18447,286
18447,292
18447,5034
18447,5050
18447,5051
18447,5052
18447,6840
18447,10373
18447,11036
18447,15702
18447,64388
18447,86047
18447,86051
18447,86054
18447,86062
104438,4318
104438,10653
104438,10654
104438,10656
104438,10657
104438,10658
104438,10659
104438,10660
104438,10661
106531,5051
106531,11041
106531,65253
106531,80996
106531,80997
106531,81012
106531,99656
106531,106527
106531,106528
106531,106529
106531,106530
106531,125463
106531,131791
106531,134004
106531,156163
106531,205854
106531,205855
106531,205868
106531,205870
106531,205874
106531,205875
107173,114
107173,282
107173,285
107173,286
107173,287
107173,288
107173,289
107173,290
107173,291
107173,292
107173,293
107176,5051
107176,9781
107176,14755
107176,16219
107176,24831
107176,64952
107176,64957
107176,66045
107176,66657
107176,66660
107176,66661
107176,66662
107176,66663
107176,66664
107176,66665
107176,66666
107176,66667
107176,66671
107176,66675
107176,66676
107176,66677
310839,1916
310839,1924
310839,5135
310839,6846
310839,9782
310839,16219
310839,66662
310839,77972
310839,77973
310839,77978
310839,77983
310839,77985
310839,112533
310839,290565
310839,343755
310839,791015
310839,791022
116228,6612
116228,7484
116228,9016
116228,9030
116228,41806
116228,53880
116228,71785
116228,116227
116228,125448
116228,247673
116228,403731
116228,403732
116228,403733
116228,403738
116228,403739
116228,403740
116228,403741
116228,403743
116228,403744
116228,403747
116228,403751
116228,403753
116228,403754
116228,403755
116228,403758
116228,403759
117391,23426
117391,27810
117391,59492
117391,105673
117391,154922
125090,292
125090,1384
125090,2348
125090,2720
125090,2962
125090,3886
125090,4330
125090,4335
125090,4530
125090,6585
125090,6614
125090,7787
125090,8639
125090,8640
125090,8641
125090,8643
125090,8646
125090,8650
125090,8653
125090,8655
125090,8657
125090,8658
125090,8668
125090,8683
125090,17249
125090,21941
125090,21955
125090,21970
125090,21976
125090,25714
125090,26423
125090,26596
125090,33982
125090,35922
125090,37584
125090,50378
125090,50379
125090,67298
125090,76961
125090,81801
125090,94713
125090,94718
125090,94719
125090,94721
125090,94722
125090,94730
125090,94732
125090,94733
125090,94739
125090,94743
125090,94745
125090,94749
125090,94751
125090,94752
125090,94754
125090,94759
125090,94763
125090,94766
125090,94768
125090,94772
125090,94776
125090,94777
4524,4183
4524,4520
4524,4528
4524,13407
4524,21713
4524,26597
4524,26605
4524,26628
4524,26633
4524,46666
4524,63140
4524,84327
4524,87093
4524,102199
4524,136715
4524,342352
4524,342353
4524,342356
4524,520695
150822,2181
150822,4122
150822,24752
150822,24759
150822,26107
150822,61479
150822,61490
150822,65471
150822,65482
154751,292
154751,1652
154751,4153
154751,4996
154751,5051
154751,13182
154751,14089
154751,18466
154751,26595
154751,31444
154751,31699
154751,39454
154751,40305
154751,40727
154751,77194
154751,77206
154751,78421
154751,79654
154751,115408
154751,120622
154751,125499
154751,125570
154751,131786
154751,138954
154751,154757
154751,155101
154751,172689
154751,190123
154751,246520
154751,246535
154751,273099
154751,298044
154751,317705
154751,520617
154751,625081
154751,650568
154751,650570
154751,650571
154751,650574
154751,650577
154751,650582
154751,650583
154751,650584
154751,650587
154751,650590
154751,650592
154751,650593
154751,650595
154751,650598
154751,650599
154751,650600
154751,650606
154751,650607
154751,650609
154751,650611
154751,650612
154751,650614
154751,650615
154751,650616
154751,650618
154751,650619
154751,650620
154751,650628
154751,650629
154751,650630
154751,650632
154751,650641
181485,13182
181485,49271
181485,71787
181485,86040
181485,115411
181485,115412
181485,246519
181485,246520
181485,246521
181485,246523
181485,246525
181485,246532
181485,246533
181485,246534
181485,246535
181485,246536
190298,229
190298,1272
190298,3231
190298,4624
190298,5043
190298,5059
190298,9974
190298,12956
190298,16220
190298,16221
190298,17798
190298,17803
190298,18614
190298,18619
190298,23751
190298,23755
190298,29395
190298,42529
190298,42532
190298,42535
190298,42536
190298,54362
190298,109478
190298,109489
190298,109492
4153,4183
4153,4530
4153,5050
4153,5051
4153,5052
4153,14089
4153,14762
4153,16931
4153,18466
4153,23407
4153,23737
4153,29474
4153,33982
4153,39452
4153,39454
4153,40727
4153,54856
4153,54857
4153,54860
4153,77193
4153,77194
4153,77197
4153,77202
4153,77206
4153,77207
4153,77208
4153,77209
4153,77210
4153,77211
4153,77212
4153,77214
4153,77218
4153,77223
4153,77225
4153,77226
24033,292
24033,5051
24033,11055
24033,12835
24033,21728
24033,42772
24033,86062
24033,100336
24033,154767
24033,181511
24033,225833
24033,518344
24033,518351
24033,518460
134919,743
134919,3683
134919,4183
134919,6840
134919,9544
134919,11055
134919,17664
134919,26688
134919,29459
134919,32723
134919,32726
134919,60265
134919,81017
134919,109334
134919,114091
134919,114092
134919,114095
134919,114097
134919,114098
134919,114101
134919,114103
134919,114106
134919,114107
132729,4183
132729,18474
132729,33982
132729,39452
132729,39458
132729,78416
132729,132724
132729,132728
132729,160443
132729,186019
240829,6406
240829,6408
240829,6414
240829,9043
240829,32075
240829,40309
240829,41795
240829,42995
240829,58561
240829,58569
240829,68534
240829,68557
240829,120628
240829,120632
240829,182869
240829,245383
240829,366735
240829,366741
240829,366744
240829,366746
240829,366748
240829,366749
240829,366750
240829,366752
32721,896
32721,5917
32721,8314
32721,29466
32721,29473
32721,32720
32721,34002
32721,63141
32721,104444
32721,267898
32721,426867
32721,426868
311332,292
311332,4640
311332,5917
311332,12956
311332,14762
311332,31854
311332,34897
311332,71784
311332,73145
311332,76961
311332,77209
311332,125492
311332,126197
311332,126201
181511,292
181511,4830
181511,5051
181511,11057
181511,12835
181511,24033
181511,24202
181511,34897
181511,55731
181511,100336
181511,125563
181511,154767
181511,518344
181511,518351
659334,251
659334,334
659334,1099
659334,3076
659334,4516
659334,4960
659334,5933
659334,6050
659334,6315
659334,12254
659334,13106
659334,15235
659334,27906
659334,28190
659334,32783
659334,33982
659334,41129
659334,51025
659334,57724
659334,58963
659334,60242
659334,78424
659334,116425
659334,130258
659334,160177
659334,187555
659334,389394
659334,389395
659334,389400
659334,389406
659334,389409
659334,389426
659334,389431
262331,8367
262331,10660
262331,11632
262331,16912
262331,16917
262331,61995
262331,70035
262331,109492
577505,774
577505,4773
577505,5917
577505,6840
577505,15465
577505,18447
577505,18724
577505,20259
577505,20260
577505,20262
577505,20263
577505,21032
577505,33118
577505,50225
577505,55275
577505,68580
577505,73288
577505,115420
577505,128226
577505,185640
577505,240820
577505,278359
577505,280312
577505,347583
577505,418196
577505,577447
577505,577449
577505,577450
577505,577451
577505,577452
577505,577457
577505,577466
577505,577477
577505,577478
577505,577482
577505,577484
577505,577486
577505,577487
325457,251
325457,292
325457,338
325457,1000
325457,1238
325457,3159
325457,3683
325457,4153
325457,4183
325457,9072
325457,11903
325457,14762
325457,16220
325457,16912
325457,16931
325457,19063
325457,20379
325457,23416
325457,29474
325457,32726
325457,40727
325457,42196
325457,43445
325457,46841
325457,47256
325457,47268
325457,47271
325457,47489
325457,49707
325457,57621
325457,62012
325457,62017
325457,73284
325457,73305
325457,76954
325457,77218
325457,78421
325457,81002
325457,94763
325457,95737
325457,97722
325457,104434
325457,109334
325457,109338
325457,114091
325457,114106
325457,115412
325457,115455
325457,116281
325457,116289
325457,124943
325457,125467
325457,125504
325457,125542
325457,125647
325457,134919
325457,163754
325457,169544
325457,288581
325457,288587
325457,288592
325457,288597
325457,288601
325457,288604
325457,288606
325457,288608
325457,288610
325457,288611
325457,288613
325457,288624
325457,288625
325457,288626
325457,288631
325457,288638
325457,288643
325457,288647
325457,288648
325457,288654
325457,288658
693417,23081
693417,23484
693417,81012
693417,90008
693417,125463
693417,691997
693417,692695
693417,692699
693417,692701
693417,692702
693417,692706
693417,692707
362910,16674
362910,16681
362910,16690
362910,18010
362910,29691
362910,31702
362910,73298
362910,105919
362910,154757
362910,201046
362910,362904
362910,362909
262323,1376
262323,1720
262323,5051
262323,25544
262323,25548
262323,34897
262323,59492
262323,104604
262323,262327
23433,19621
23433,23449
23433,23464
23433,23487
23433,23495
23433,23505
23433,23520
23433,23528
23433,360378
23433,360386
23433,360389
23433,360390
23433,360391
163698,1000
163698,1001
163698,1002
163698,2962
163698,6595
163698,12835
163698,19225
163698,19246
163698,26425
163698,33982
163698,34892
163698,34898
163698,51212
163698,51213
163698,70035
163698,213526
163698,249348
163698,557242
163698,557296
163698,557302
163698,557304
9075,933
9075,4183
9075,15512
9075,17091
9075,19896
9075,29752
9075,100329
9075,100330
9075,100331
9075,100333
9075,100335
9075,100336
9075,100337
9075,100339
9075,100340
9075,100343
9075,100345
272344,6840
272344,35775
272344,103547
272344,103548
272344,103549
272344,103550
272344,103551
272344,244180
272344,308410
272344,308417
16220,251
16220,890
16220,4153
16220,4183
16220,4530
16220,4531
16220,4712
16220,5050
16220,5052
16220,6307
16220,8362
16220,10373
16220,11040
16220,11055
16220,16912
16220,20387
16220,24189
16220,41778
16220,43445
16220,59480
16220,62009
16220,76961
16220,80976
16220,104434
16220,104438
16220,125484
16220,125504
16220,125563
16220,125567
16220,188511
16220,356607
16220,409631
16220,409633
16220,409652
16220,409658
16220,409660
16220,409667
16220,409668
290565,2440
290565,4660
290565,5051
290565,9781
290565,14755
290565,16220
290565,23206
290565,24831
290565,29837
290565,64952
290565,64957
290565,66657
290565,66660
290565,66661
290565,66662
290565,66663
290565,66664
290565,66665
290565,66667
290565,66671
290565,66675
290565,66676
290565,77983
290565,77985
290565,107171
290565,107173
290565,107174
290565,107176
290565,107177
290565,107179
290565,107180
290565,107181
290565,107182
290565,107186
290565,107195
290565,107196
290565,107197
290565,107201
290565,107204
797120,292
797120,4183
797120,5051
797120,5054
797120,14762
797120,19904
797120,19912
797120,26595
797120,71787
797120,115398
797120,115399
797120,115401
797120,115408
797120,115411
797120,115412
1102546,338
1102546,4514
1102546,4515
1102546,4516
1102546,4517
1102546,4518
1102546,4519
1102546,4520
1102546,4521
1102546,4522
1102546,4523
1102546,4524
1102546,4526
1102546,4527
1102546,4528
1102546,4529
1102546,4530
1102546,4531
1102546,4532
1102546,4533
1102546,4534
1102546,4535
1103030,920
1103030,3233
1103030,3886
1103030,4183
1103030,4534
1103030,4535
1103030,5034
1103030,5040
1103030,5046
1103030,5051
1103030,5057
1103030,6839
1103030,9028
1103030,11040
1103030,12955
1103030,14390
1103030,14391
1103030,14392
1103030,14395
1103030,14397
1103030,14398
1103030,14399
1103030,14402
1103030,14403
1103030,14406
1103030,15581
1103030,15582
1103030,15584
1103030,15585
1103030,15588
1103030,15592
1103030,15696
1103030,23783
1103030,34897
1103030,61122
1103030,76959
1103030,76961
1103030,92793
1103030,92794
1103030,100329
1103030,123638
1103045,3886
1103045,14751
1103045,14752
1103045,14753
1103045,14754
1103045,14755
1103045,14757
1103045,14758
1103045,14759
1103045,14760
1103045,14762
5045,251
5045,286
5045,3196
5045,5042
5045,5052
5045,6321
5045,11040
5045,16221
5045,17924
5045,18619
5045,19221
5045,19222
5045,19225
5045,19226
5045,19229
5045,19230
5045,19231
5045,19233
5045,19234
5045,19235
5045,19237
5045,19241
5045,19243
5045,19244
5045,19245
5045,19246
5045,19248
5045,19251
1103282,1155
1103282,14755
1103282,19106
1103282,19895
1103282,19896
1103282,19898
1103282,19899
1103282,19901
1103282,19902
1103282,19903
1103282,19904
1103282,19905
1103282,19906
1103282,19907
1103282,19908
1103282,19909
1103282,19910
1103282,19912
1103282,19913
1152123,3292
1152123,5917
1152123,12596
1152123,12614
1152123,12615
1152123,13419
1152123,22109
1152123,22110
1152123,22111
1152123,22112
1152123,22113
1152123,22114
1152123,22115
1152123,22116
1152123,22117
1152123,22119
1152123,22120
1152123,22122
1152123,22123
1152123,22124
1152123,22125
1152123,22126
1152123,22128
1152123,22129
1152123,22130
1152123,22131
1152123,22132
1152123,22133
1152123,22134
1152123,22135
1152123,22136
1152123,22137
1152123,22141
1152123,22142
312711,4515
312711,4518
312711,4531
312711,29458
312711,29459
312711,29460
312711,29465
312711,29466
312711,29467
312711,29468
312711,29469
312711,29470
312711,29471
312711,29472
312711,29473
312711,29474
312711,29475
1104003,4159
1104003,4183
1104003,5052
1104003,6595
1104003,6599
1104003,6604
1104003,6612
1104003,6631
1104003,12835
1104003,16913
1104003,16915
1104003,16922
1104003,19225
1104003,23426
1104003,31854
1104003,33982
1104003,34892
1104003,34894
1104003,34895
1104003,34897
1104003,34898
1104003,34901
1104003,34906
1104003,34907
1104003,34909
1104003,34910
1104003,34911
1104003,34912
1104003,34913
1104003,34914
1104003,34916
1104003,34918
1104003,34920
1104003,34924
1104003,34925
1104003,34926
1104003,34928
1104003,34930
1104003,34932
1152163,251
1152163,3330
1152163,3332
1152163,14801
1152163,15106
1152163,17213
1152163,17291
1152163,17300
1152163,21009
1152163,35966
1152163,35967
1152163,35968
1152163,35969
1152163,35970
1152163,35971
1152163,35972
1152163,35974
1152163,35977
1152163,35978
1152163,35979
1152163,35982
1152163,35983
1152163,35984
1152163,35985
1152163,35986
1152163,35987
1152163,35989
1152163,35990
1152163,35991
1152163,35993
1152163,35994
1152163,35995
1152163,35997
1152163,35999
1152163,36000
1152163,36001
1152163,36002
1152163,36003
1152163,36006
1152163,36010
1152163,36011
1152163,36013
1152163,36015
1152163,36019
1152163,36021
1152163,36022
1152163,36023
1152163,36024
1152163,36025
1152163,36027
1152163,36028
1152163,36030
1152163,36031
1152163,36033
1152163,36034
1152163,36035
1152163,36038
1152163,36039
1152163,36040
1152163,36041
1152163,36043
1152163,36044
1152163,36045
1104354,231
1104354,920
1104354,4996
1104354,17096
1104354,18771
1104354,27508
1104354,42188
1104354,42191
1104354,42196
132724,45401
132724,45402
132724,45403
132724,45404
1104914,1000
1104914,6592
1104914,17086
1104914,54234
1104914,54236
1104914,54238
1104914,54240
1104914,54242
1105286,9028
1105286,10469
1105286,17664
1105286,37584
1105286,41228
1105286,46841
1105286,60264
1105286,62521
1105286,62522
1105286,62523
1105286,62526
1105286,62528
1105286,62532
1105286,62534
1105510,39
1105510,1270
1105510,66843
1105510,66846
1105510,66847
1105510,66849
1105510,66850
1105526,27491
1105526,53282
1105526,67141
1105526,67142
1105526,67143
1105526,67144
1105526,67145
1105526,67146
1105526,67147
1105526,67148
1105526,67150
1105526,67153
1105526,67154
208320,338
208320,3501
208320,4156
208320,4183
208320,4531
208320,4830
208320,5041
208320,5959
208320,13246
208320,19106
208320,24186
208320,26688
208320,31699
208320,31702
208320,31708
208320,60523
208320,73276
208320,73278
208320,73281
208320,73283
208320,73284
208320,73288
208320,73290
208320,73291
208320,73292
208320,73294
208320,73295
208320,73298
208320,73300
208320,73301
208320,73302
208320,73303
208320,73304
208320,73305
208320,73306
208320,73310
208320,73312
208320,73313
208320,73317
208320,73318
1106107,5051
1106107,12024
1106107,16517
1106107,20260
1106107,31216
1106107,80001
1106107,80002
1106107,80004
1106107,80005
1106107,80006
1106107,80009
14759,15583
14759,24031
14759,24034
